Index,C1,C2,C3,C4,C5,C6,C7,C8,C9,Target
40,1,2,22,0,1,1,3,0.34,0.93,76
41,1,12,7,0,5,1,2,0.32,0.57,208
42,2,4,2,0,4,1,2,0.62,0.83,21
43,2,5,14,0,0,0,1,0.7,0.48,552
44,3,8,6,0,5,1,3,0.64,0.89,44
45,2,6,7,0,0,0,1,0.52,0.72,48
46,4,11,9,0,2,1,2,0.32,0.81,268
47,2,5,8,0,5,1,1,0.52,0.59,745
48,1,2,20,0,0,0,1,0.32,0.42,88
49,4,9,0,0,1,1,2,0.62,0.94,29
50,2,4,10,0,1,1,2,0.32,0.7,100
51,2,5,18,0,2,1,1,0.8,0.49,710
52,2,3,17,0,4,1,2,0.3,0.7,233
53,1,2,13,0,3,1,1,0.46,0.47,186
54,3,7,3,0,1,1,1,0.66,0.78,7
55,4,11,15,0,5,1,2,0.4,0.4,306
56,4,11,8,0,5,1,1,0.26,0.81,74
57,4,10,1,0,5,1,1,0.32,0.66,16
58,3,9,19,0,3,1,3,0.62,0.94,283
59,2,4,15,0,4,1,1,0.6,0.43,262
60,1,1,19,0,2,1,1,0.5,0.29,328
61,2,6,2,0,1,1,1,0.56,0.6,11
62,4,12,9,0,4,1,1,0.28,0.52,325
63,4,10,20,0,2,1,1,0.46,0.67,248
64,3,8,18,0,5,1,1,0.86,0.36,546
65,2,3,17,0,1,1,1,0.46,0.24,664
66,1,12,17,0,5,1,2,0.26,0.56,321
67,2,3,23,0,6,0,2,0.44,0.94,105
68,2,6,12,0,2,1,1,0.7,0.65,292
69,3,8,4,0,4,1,1,0.66,0.83,9
70,2,6,6,0,1,1,3,0.6,0.78,26
71,4,10,9,0,2,1,2,0.6,0.69,235
72,1,2,15,0,2,1,1,0.34,0.19,85
73,1,1,18,0,0,0,3,0.16,0.86,121
74,2,4,9,0,4,1,2,0.4,0.66,170
75,1,2,6,0,0,0,2,0.26,0.7,4
76,4,10,10,0,0,0,2,0.48,0.51,434
77,4,12,0,0,2,1,1,0.42,0.88,55
78,1,2,12,0,5,1,2,0.4,0.76,228
79,2,6,23,0,6,0,1,0.66,0.74,131
80,3,7,2,0,0,0,2,0.6,0.88,122
81,3,9,4,0,6,0,1,0.7,0.7,12
82,3,7,5,1,1,0,2,0.64,0.83,4
83,4,10,6,0,6,0,2,0.5,0.82,31
84,4,12,14,0,6,0,1,0.28,0.45,237
85,4,12,0,0,5,1,1,0.22,0.64,47
86,4,11,4,0,6,0,1,0.24,0.7,7
87,3,9,6,0,4,1,1,0.6,0.78,105
88,2,5,11,0,5,1,2,0.54,0.49,165
89,3,8,16,0,4,1,1,0.72,0.84,121
90,3,9,6,0,0,0,1,0.5,0.72,35
91,4,9,4,0,1,1,2,0.62,0.94,6
92,1,3,12,0,2,1,2,0.36,0.23,99
93,4,12,1,0,4,1,2,0.28,0.52,23
94,2,4,17,0,3,1,1,0.46,0.67,309
95,4,10,8,0,2,1,1,0.44,0.62,835
96,2,4,4,0,6,0,3,0.3,1,3
97,3,7,13,0,0,0,1,0.8,0.46,367
98,3,6,13,0,4,1,1,0.76,0.33,232
99,4,10,10,0,2,1,1,0.54,0.6,221
100,4,10,8,0,1,1,2,0.6,0.64,737
101,1,2,17,0,3,1,2,0.2,0.34,166
102,1,3,11,0,1,1,1,0.26,0.48,60
103,3,9,4,0,4,1,1,0.44,0.77,6
104,1,2,11,0,2,1,1,0.34,0.36,163
105,2,5,0,0,3,1,2,0.58,0.88,39
106,1,12,14,1,1,0,1,0.38,0.4,153
107,1,2,21,0,3,1,1,0.52,0.52,233
108,2,5,3,0,6,0,1,0.42,0.77,18
109,4,12,15,0,1,1,1,0.6,0.56,268
110,1,2,19,0,6,0,1,0.34,0.29,59
111,1,2,20,0,3,1,1,0.24,0.48,75
112,2,5,10,0,5,1,2,0.52,0.83,130
113,4,11,16,0,6,0,1,0.4,0.4,335
114,3,7,2,0,5,1,1,0.6,0.78,38
115,2,5,9,0,0,0,2,0.46,0.72,141
116,1,1,0,0,0,0,1,0.16,0.47,59
117,4,11,8,0,5,1,1,0.22,0.44,375
118,1,2,17,0,6,0,2,0.24,1,78
119,3,9,6,0,4,1,2,0.6,1,101
120,1,2,23,0,3,1,1,0.2,0.44,32
121,4,9,19,0,3,1,1,0.7,0.54,627
122,2,4,9,0,5,1,2,0.36,0.76,185
123,1,1,17,0,6,0,1,0.16,0.37,69
124,1,2,17,1,1,0,2,0.28,0.75,80
125,4,11,6,0,4,1,1,0.3,0.39,124
126,1,2,16,0,1,1,1,0.54,0.26,286
127,1,2,13,0,0,0,1,0.3,0.49,261
128,1,2,9,0,6,0,3,0.2,1,20
129,3,9,1,0,1,1,1,0.52,0.72,21
130,4,10,8,0,3,1,1,0.32,0.81,621
131,1,1,13,0,0,0,1,0.2,0.34,75
132,3,8,14,0,0,0,3,0.64,0.73,149
133,4,11,10,0,1,1,2,0.52,0.83,135
134,1,1,0,0,2,1,2,0.16,0.69,9
135,2,5,1,0,2,1,2,0.6,0.94,15
136,2,4,22,0,0,0,3,0.34,0.87,13
137,2,6,2,0,0,0,1,0.52,0.59,89
138,4,11,16,0,6,0,1,0.52,0.32,361
139,2,3,12,0,2,1,1,0.32,0.31,220
140,1,3,21,0,0,0,1,0.52,0.72,173
141,3,7,0,0,6,0,1,0.74,0.62,191
142,4,10,21,0,3,1,2,0.66,0.74,209
143,4,11,12,0,2,1,2,0.54,0.68,176
144,1,1,21,0,1,1,1,0.18,0.64,52
145,3,7,6,0,3,1,2,0.68,0.89,116
146,3,8,4,0,3,1,1,0.7,0.54,5
147,4,12,19,0,1,1,1,0.52,0.77,427
148,3,8,15,0,2,1,1,0.9,0.25,168
149,2,6,9,0,1,1,1,0.7,0.65,316
150,2,4,2,0,5,1,1,0.36,0.53,9
151,2,6,8,0,5,1,1,0.6,0.69,653
152,3,7,22,0,4,1,1,0.72,0.51,318
153,1,1,4,0,6,0,1,0.16,0.69,3
154,4,10,15,0,5,1,1,0.72,0.39,470
155,3,9,20,0,3,1,3,0.62,0.94,160
156,1,2,6,0,6,0,3,0.2,1,4
157,2,5,18,0,1,1,1,0.7,0.74,453
158,4,12,23,0,2,1,1,0.34,0.49,81
159,3,9,22,0,1,1,1,0.62,0.83,150
160,4,9,16,0,0,0,1,0.64,0.36,648
161,4,12,22,0,0,0,1,0.22,0.75,49
162,4,11,23,0,2,1,1,0.26,0.56,84
163,4,10,14,0,4,1,2,0.62,0.5,285
164,3,6,9,0,6,0,1,0.64,0.89,275
165,2,3,9,0,2,1,1,0.24,0.38,267
166,1,1,14,0,0,0,1,0.16,0.28,110
167,1,1,23,0,5,1,1,0.06,0.38,27
168,3,7,10,0,0,0,1,0.76,0.55,268
169,1,2,12,0,6,0,1,0.32,0.29,258
170,4,9,23,0,6,0,1,0.5,0.59,196
171,2,4,5,0,2,1,1,0.32,0.66,27
172,4,10,2,0,4,1,1,0.56,0.88,4
173,2,5,2,0,0,0,1,0.56,0.52,98
174,1,2,18,0,2,1,1,0.3,0.22,212
175,4,11,15,0,1,1,1,0.42,0.35,230
176,2,4,4,0,6,0,3,0.34,1,5
177,1,3,11,0,2,1,2,0.36,0.25,78
178,3,9,13,0,2,1,2,0.56,0.94,103
179,3,8,12,0,1,1,2,0.78,0.55,285
180,4,11,4,0,4,1,1,0.32,0.81,4
181,3,9,4,0,5,1,1,0.6,0.83,4
182,4,11,2,0,0,0,1,0.32,0.87,70
183,4,11,5,0,5,1,2,0.32,0.66,26
184,4,12,20,0,3,1,2,0.34,0.66,175
185,1,12,10,0,2,1,2,0.32,0.66,60
186,3,8,23,0,1,1,1,0.62,0.41,64
187,1,3,6,0,0,0,2,0.42,0.94,2
188,4,12,11,0,4,1,1,0.34,0.49,102
189,2,3,18,0,3,1,3,0.38,0.82,238
190,4,9,14,0,3,1,1,0.74,0.48,277
191,4,11,0,0,3,1,1,0.32,0.87,19
192,1,2,16,1,1,0,1,0.36,0.29,280
193,2,6,9,0,3,1,1,0.56,0.6,303
194,4,11,20,0,1,1,1,0.4,0.71,204
195,3,7,13,0,6,0,1,0.76,0.45,497
196,1,12,6,0,3,1,2,0.22,0.69,36
197,3,7,16,0,0,0,1,0.9,0.42,249
198,1,1,11,0,1,1,2,0.16,0.47,30
199,1,2,18,0,5,1,2,0.42,0.94,300
200,4,10,1,0,3,1,2,0.46,0.88,8
201,2,4,12,0,4,1,1,0.46,0.41,259
202,2,4,2,0,1,1,1,0.42,0.67,16
203,3,6,22,0,4,1,1,0.7,0.42,207
204,3,8,13,0,5,1,1,0.84,0.36,357
205,4,12,7,0,0,0,2,0.24,0.93,31
206,4,10,15,0,0,0,1,0.66,0.39,568
207,4,10,21,0,0,0,1,0.36,0.71,88
208,2,5,11,0,4,1,1,0.54,0.77,201
209,1,3,21,0,4,1,1,0.42,0.47,197
210,3,7,10,0,3,1,1,0.9,0.42,138
211,2,5,1,0,6,0,1,0.5,0.48,104
212,3,8,21,0,0,0,1,0.66,0.61,186
213,4,12,7,0,2,1,1,0.42,0.88,502
214,4,10,4,0,5,1,1,0.54,0.77,11
215,4,12,4,0,3,1,3,0.46,1,1
216,4,12,14,0,1,1,1,0.6,0.53,260
217,2,5,23,0,3,1,1,0.36,0.62,57
218,1,3,12,0,2,1,2,0.36,0.5,102
219,4,10,14,0,6,0,2,0.6,0.56,576
220,3,9,2,0,4,1,1,0.62,0.73,5
221,1,2,1,0,4,1,3,0.14,0.8,7
222,4,10,21,0,3,1,2,0.62,0.61,313
223,4,10,3,0,1,1,1,0.24,0.87,3
224,2,4,13,0,0,0,1,0.46,0.82,263
225,4,10,8,0,2,1,2,0.46,0.72,761
226,1,12,9,0,0,0,1,0.24,0.87,23
227,1,2,16,0,2,1,1,0.42,0.35,266
228,2,4,14,0,4,1,1,0.5,0.31,224
229,2,3,10,0,5,1,2,0.36,0.57,187
230,4,10,9,0,3,1,2,0.42,0.77,382
231,3,7,5,0,0,0,1,0.62,0.78,17
232,4,10,18,0,5,1,1,0.54,0.39,423
233,3,9,15,0,5,1,1,0.8,0.55,331
234,4,11,0,0,5,1,2,0.4,0.82,43
235,2,4,10,0,5,1,2,0.36,0.62,136
236,4,12,14,0,6,0,1,0.36,0.46,343
237,2,4,17,0,1,1,1,0.74,0.23,366
238,3,7,9,0,2,1,1,0.72,0.7,333
239,1,2,9,0,3,1,2,0.24,0.7,253
240,1,12,9,0,6,0,2,0.26,0.81,49
241,2,3,5,0,4,1,2,0.48,1,34
242,4,11,7,0,6,0,1,0.24,0.7,78
243,2,4,17,0,0,0,1,0.62,0.27,522
244,3,8,20,0,4,1,1,0.72,0.37,288
245,1,1,17,0,1,1,2,0.16,0.59,161
246,3,7,16,0,2,1,1,0.86,0.44,202
247,2,5,13,0,1,1,1,0.68,0.51,214
248,3,7,22,0,3,1,1,0.76,0.58,288
249,2,5,9,0,1,1,1,0.54,0.56,178
250,3,7,10,0,4,1,1,0.8,0.55,116
251,2,3,5,0,4,1,2,0.28,0.93,9
252,2,3,12,0,1,1,1,0.48,0.33,279
253,2,3,15,0,6,0,1,0.34,0.29,219
254,2,5,6,0,0,0,1,0.52,0.94,18
255,2,6,4,0,3,1,2,0.68,0.89,4
256,3,9,11,0,0,0,1,0.7,0.65,402
257,2,6,7,0,4,1,2,0.72,0.79,314
258,1,1,12,0,6,0,2,0.06,0.38,70
259,3,8,7,0,3,1,1,0.6,0.78,328
260,1,2,6,0,2,1,2,0.12,0.8,7
261,1,3,14,0,3,1,1,0.52,0.23,96
262,3,8,20,0,1,1,1,0.72,0.62,305
263,1,1,9,0,6,0,1,0.18,0.59,34
264,3,7,4,0,5,1,1,0.76,0.75,13
265,1,3,10,0,6,0,1,0.26,0.35,223
266,2,6,3,0,3,1,1,0.66,0.83,8
267,3,8,0,0,6,0,2,0.64,0.83,105
268,3,7,0,0,1,1,1,0.66,0.89,47
269,3,7,15,0,1,1,1,0.8,0.55,281
270,3,6,2,0,2,1,2,0.66,0.74,11
271,3,8,22,0,5,1,1,0.72,0.74,218
272,2,3,23,0,6,0,2,0.36,0.76,112
273,4,12,10,0,6,0,2,0.4,0.87,287
274,2,5,5,0,4,1,1,0.34,0.66,30
275,1,1,17,0,2,1,1,0.42,0.38,460
276,3,7,1,0,3,1,1,0.76,0.55,12
277,3,7,4,0,1,1,3,0.66,0.89,2
278,4,10,13,1,1,0,1,0.72,0.37,365
279,4,10,11,0,6,0,3,0.38,0.82,132
280,1,1,17,0,2,1,1,0.42,0.67,515
281,1,3,5,0,3,1,1,0.22,0.69,5
282,2,4,21,0,0,0,3,0.54,0.94,61
283,1,2,16,0,2,1,1,0.22,0.51,86
284,3,8,8,0,5,1,1,0.66,0.83,404
285,4,11,15,0,2,1,2,0.3,0.75,155
286,3,9,5,0,4,1,1,0.56,0.73,23
287,4,11,19,0,2,1,1,0.42,0.58,313
288,3,8,14,0,6,0,1,0.74,0.7,259
289,2,6,20,0,3,1,1,0.86,0.39,407
290,1,12,6,0,5,1,2,0.34,0.57,80
291,2,5,8,0,6,0,1,0.52,0.52,115
292,2,6,4,0,5,1,1,0.56,0.83,14
293,4,11,22,0,2,1,2,0.3,0.56,153
294,1,1,7,0,3,1,1,0.2,0.8,256
295,1,3,21,0,0,0,1,0.28,0.36,79
296,3,9,16,0,0,0,1,0.72,0.51,483
297,3,7,20,0,2,1,1,0.82,0.43,308
298,2,6,21,0,5,1,1,0.7,0.37,339
299,1,2,11,0,3,1,3,0.3,0.87,10
300,4,11,4,0,1,1,3,0.44,1,5
301,4,11,14,0,5,1,1,0.34,0.31,154
302,4,11,7,0,6,0,2,0.32,0.49,59
303,2,5,14,0,5,1,1,0.74,0.58,367
304,3,8,23,0,3,1,1,0.72,0.7,136
305,1,3,11,0,6,0,2,0.52,0.77,585
306,3,6,16,0,5,1,1,0.96,0.36,351
307,2,3,0,0,6,0,1,0.38,0.82,92
308,1,12,12,0,6,0,1,0.3,0.36,146
309,4,10,23,1,1,0,2,0.54,0.88,75
310,3,8,2,0,5,1,3,0.64,0.83,8
311,3,7,11,0,6,0,1,0.84,0.39,457
312,3,8,8,0,5,1,1,0.68,0.39,426
313,3,7,9,0,0,0,1,0.82,0.56,219
314,2,5,4,0,2,1,1,0.66,0.83,3
315,1,3,1,0,0,0,1,0.32,0.53,24
316,4,10,3,0,6,0,3,0.3,0.81,8
317,1,1,16,0,6,0,1,0.12,0.28,83
318,2,4,9,1,1,0,1,0.62,0.69,297
319,1,2,15,0,2,1,1,0.42,0.26,166
320,4,10,16,0,5,1,3,0.62,0.69,565
321,2,3,19,0,3,1,2,0.26,0.93,72
322,3,6,7,0,3,1,1,0.7,0.79,311
323,1,1,15,0,5,1,1,0.48,0.51,197
324,2,5,15,0,4,1,1,0.56,0.26,147
325,1,12,9,0,3,1,1,0.32,0.57,189
326,4,11,1,0,6,0,1,0.3,0.81,76
327,2,5,4,0,3,1,3,0.58,0.83,3
328,2,5,4,0,5,1,2,0.62,0.88,9
329,2,5,21,0,3,1,1,0.68,0.57,304
330,2,6,9,0,0,0,1,0.6,0.46,300
331,2,4,11,0,1,1,1,0.64,0.73,147
332,2,6,4,0,2,1,2,0.6,0.78,10
333,1,2,12,0,3,1,1,0.38,0.46,163
334,3,9,13,0,3,1,1,0.8,0.63,234
335,1,12,12,1,1,0,1,0.36,0.43,100
336,2,3,12,0,3,1,2,0.34,0.46,80
337,3,8,23,0,4,1,1,0.66,0.74,132
338,1,2,8,0,0,0,1,0.24,0.65,23
339,4,11,2,0,4,1,1,0.34,0.76,7
340,4,11,11,0,3,1,2,0.32,0.51,147
341,4,9,6,0,6,0,2,0.56,0.94,18
342,3,6,4,0,3,1,1,0.66,0.83,5
343,1,2,17,0,4,1,2,0.58,0.32,274
344,2,4,15,0,4,1,1,0.6,0.38,160
345,3,8,0,0,4,1,1,0.64,0.69,65
346,4,12,13,0,6,0,2,0.34,0.76,509
347,3,8,4,0,6,0,1,0.72,0.79,13
348,3,9,6,0,0,0,1,0.52,0.77,35
349,1,1,18,0,1,1,1,0.34,0.23,410
350,2,5,19,0,5,1,1,0.58,0.64,302
351,3,8,20,0,0,0,1,0.72,0.45,214
352,1,2,17,0,6,0,3,0.22,0.69,144
353,2,6,20,0,2,1,1,0.6,0.56,297
354,2,5,6,0,6,0,1,0.42,0.77,13
355,3,9,15,0,3,1,1,0.62,0.35,311
356,4,10,15,0,4,1,2,0.52,0.83,107
357,2,6,3,0,5,1,1,0.56,0.94,6
358,1,2,12,0,2,1,2,0.3,0.52,172
359,4,9,22,0,2,1,1,0.6,0.56,188
360,3,7,2,0,0,0,1,0.82,0.52,70
361,1,1,5,0,5,1,1,0.1,0.54,8
362,3,6,22,0,3,1,2,0.72,0.79,148
363,4,12,1,0,6,0,2,0.26,0.81,95
364,2,5,21,0,1,1,1,0.52,0.59,156
365,3,7,3,0,5,1,2,0.74,0.7,7
366,1,2,20,0,0,0,2,0.3,0.52,103
367,1,2,10,0,4,1,2,0.26,0.7,57
368,1,2,9,0,2,1,2,0.26,0.56,262
369,2,4,7,0,1,1,2,0.5,0.88,176
370,1,2,18,0,6,0,2,0.22,0.47,108
371,4,11,18,0,0,0,1,0.52,0.45,405
372,2,6,18,0,6,0,2,0.72,0.37,571
373,4,10,3,0,5,1,2,0.52,0.88,13
374,3,7,23,0,0,0,1,0.64,0.83,147
375,4,10,3,0,3,1,2,0.46,0.88,6
376,1,1,4,0,2,1,3,0.32,0.66,2
377,2,3,19,0,4,1,2,0.3,0.87,130
378,4,10,4,0,0,0,2,0.34,0.87,7
379,1,12,11,0,6,0,3,0.2,0.93,45
380,4,11,3,0,1,1,1,0.44,0.67,7
381,4,10,10,0,4,1,2,0.52,0.68,218
382,2,6,9,0,4,1,2,0.62,0.65,261
383,1,12,20,0,0,0,1,0.26,0.65,52
384,2,6,13,0,4,1,1,0.8,0.24,203
385,3,8,2,0,6,0,1,0.62,0.78,69
386,4,12,22,0,1,1,2,0.44,0.88,106
387,4,11,21,0,1,1,1,0.3,0.52,152
388,1,2,19,0,3,1,2,0.46,0.44,327
389,3,9,7,0,6,0,1,0.66,0.89,82
390,3,7,20,0,5,1,1,0.72,0.42,269
391,1,12,5,0,2,1,2,0.3,0.64,8
392,4,10,2,0,1,1,1,0.38,0.71,5
393,3,6,4,0,5,1,1,0.66,0.83,9
394,4,10,5,1,1,0,1,0.46,0.94,21
395,2,5,17,0,6,0,1,0.74,0.3,626
396,4,9,22,0,1,1,1,0.5,0.51,172
397,1,1,17,0,4,1,1,0.22,0.55,84
398,2,5,3,0,3,1,1,0.54,1,9
399,2,4,4,0,2,1,1,0.56,0.83,6
400,3,8,17,0,1,1,1,0.74,0.27,591
401,1,12,6,0,0,0,2,0.24,0.52,8
402,4,11,8,0,5,1,1,0.32,0.57,687
403,2,4,17,0,4,1,1,0.6,0.28,388
404,3,8,8,0,1,1,1,0.66,0.61,351
405,1,3,16,0,4,1,1,0.58,0.32,361
406,2,4,7,0,2,1,2,0.48,0.88,134
407,1,2,1,0,5,1,1,0.1,0.54,7
408,4,12,14,0,6,0,1,0.34,0.31,293
409,2,4,21,0,6,0,3,0.36,0.71,84
410,1,1,7,0,4,1,1,0.12,0.54,206
411,4,12,7,0,2,1,1,0.34,0.66,380
412,2,5,18,0,1,1,2,0.58,0.83,300
413,4,10,8,0,4,1,1,0.38,0.46,798
414,3,8,20,0,1,1,1,0.64,0.53,277
415,2,4,12,0,6,0,1,0.52,0.42,416
416,4,11,3,0,6,0,1,0.26,0.48,15
417,4,10,21,0,3,1,1,0.5,0.82,201
418,1,12,20,0,3,1,3,0.32,0.93,32
419,1,1,23,0,6,0,2,0.16,0.8,52
420,1,12,0,0,6,0,2,0.32,0.7,23
421,1,2,6,1,1,0,1,0.24,0.52,10
422,2,5,10,0,2,1,1,0.62,0.78,171
423,4,12,4,0,1,1,2,0.38,0.94,12
424,1,2,2,0,6,0,3,0.26,0.81,26
425,3,9,1,0,0,0,1,0.66,0.83,75
426,3,9,19,0,0,0,1,0.64,0.69,333
427,3,9,14,0,3,1,3,0.6,0.93,25
428,1,2,13,0,5,1,1,0.4,0.43,205
429,2,5,14,0,5,1,2,0.66,0.74,242
430,2,4,7,0,3,1,1,0.34,0.71,389
431,3,8,16,0,3,1,1,0.76,0.48,431
432,2,4,18,0,2,1,1,0.38,0.4,267
433,3,8,9,0,6,0,1,0.68,0.79,271
434,1,3,17,0,0,0,3,0.34,1,25
435,3,9,21,0,5,1,2,0.5,0.63,163
436,3,8,0,0,0,0,2,0.64,0.73,120
437,1,1,8,0,4,1,1,0.12,0.54,423
438,2,5,4,0,1,1,2,0.46,0.88,2
439,1,2,15,0,3,1,1,0.6,0.35,194
440,2,4,19,0,0,0,1,0.6,0.23,276
441,1,1,14,0,3,1,1,0.4,0.58,75
442,1,2,4,0,6,0,1,0.3,0.42,2
443,1,2,11,0,3,1,1,0.36,0.66,171
444,1,1,12,0,1,1,1,0.26,0.35,134
445,2,4,23,0,0,0,1,0.46,0.88,32
446,4,10,18,0,5,1,2,0.56,0.78,665
447,1,1,10,0,6,0,2,0.18,0.8,61
448,2,6,18,0,6,0,2,0.74,0.55,381
449,3,8,12,0,5,1,2,0.76,0.66,243
450,3,9,14,0,0,0,1,0.78,0.66,361
451,1,12,6,0,6,0,2,0.3,0.75,10
452,1,3,13,0,4,1,2,0.52,0.42,111
453,1,1,7,0,5,1,1,0.26,0.6,177
454,4,10,23,1,1,0,2,0.4,0.71,69
455,1,2,11,0,4,1,3,0.32,0.7,71
456,1,2,15,0,6,0,1,0.32,0.29,232
457,1,1,9,0,2,1,3,0.32,0.81,68
458,4,12,17,0,0,0,3,0.36,0.93,229
459,2,4,22,1,1,0,1,0.68,0.51,214
460,1,2,5,0,4,1,2,0.12,0.5,6
461,2,5,12,1,1,0,1,0.86,0.47,366
462,4,12,10,0,1,1,1,0.24,0.67,108
463,2,5,16,0,6,0,1,0.74,0.3,642
464,4,11,12,0,6,0,1,0.44,0.51,309
465,4,11,3,0,1,1,2,0.3,0.56,4
466,4,11,19,0,3,1,1,0.44,0.72,304
467,4,10,4,0,5,1,1,0.36,0.76,8
468,2,4,13,0,5,1,1,0.36,0.5,110
469,4,12,0,0,5,1,1,0.26,0.7,38
470,3,8,15,0,6,0,1,0.88,0.42,489
471,4,12,5,0,5,1,1,0.22,0.8,23
472,4,10,18,0,6,0,1,0.52,0.39,521
473,1,1,2,0,0,0,1,0.28,0.26,51
474,2,5,18,0,5,1,1,0.76,0.62,522
475,3,7,1,0,6,0,1,0.76,0.7,71
476,1,2,16,0,4,1,1,0.56,0.32,343
477,4,11,2,0,3,1,1,0.3,0.87,2
478,3,7,19,0,1,1,1,0.8,0.55,398
479,4,10,19,0,2,1,1,0.52,0.68,345
480,3,8,23,0,2,1,1,0.76,0.48,75
481,2,4,4,0,1,1,2,0.52,1,5
482,1,2,19,0,3,1,2,0.4,0.87,102
483,3,8,1,0,6,0,3,0.62,0.94,92
484,2,3,17,0,5,1,2,0.72,0.42,957
485,3,7,17,0,0,0,1,0.74,0.66,556
486,2,5,0,0,0,0,2,0.68,0.69,137
487,3,8,15,0,6,0,1,0.8,0.46,562
488,3,7,17,0,0,0,1,0.92,0.26,413
489,4,9,19,0,2,1,2,0.64,0.89,320
490,3,8,11,0,5,1,2,0.76,0.48,281
491,2,4,16,0,1,1,1,0.76,0.22,189
492,3,7,12,0,6,0,3,0.6,0.83,457
493,4,11,17,0,2,1,1,0.52,0.43,499
494,1,2,10,0,0,0,1,0.3,0.81,103
495,4,11,5,0,1,1,1,0.4,0.87,34
496,2,6,17,0,3,1,1,0.92,0.35,506
497,4,12,15,0,5,1,1,0.38,0.46,189
498,3,7,9,0,0,0,2,0.66,0.69,258
499,4,12,11,0,0,0,2,0.32,0.81,355
500,2,6,20,0,6,0,2,0.7,0.48,239
501,3,7,2,0,2,1,1,0.7,0.79,9
502,4,11,1,0,2,1,1,0.32,0.93,11
503,1,1,10,0,4,1,2,0.24,0.52,86
504,2,3,18,0,4,1,1,0.5,0.39,681
505,1,3,3,0,6,0,2,0.3,0.87,2
506,1,1,6,0,0,0,2,0.04,0.57,1
507,3,8,17,0,5,1,1,0.82,0.26,516
508,1,2,7,0,3,1,2,0.26,0.81,253
509,3,8,10,0,1,1,1,0.66,0.47,115
510,3,8,0,0,4,1,1,0.68,0.65,56
511,3,9,15,0,5,1,1,0.74,0.66,188
512,1,1,16,0,5,1,1,0.28,0.3,233
513,2,4,9,0,2,1,3,0.46,0.94,54
514,3,8,7,0,3,1,1,0.62,0.78,553
515,3,7,16,0,3,1,1,0.76,0.7,275
516,3,8,9,0,2,1,2,0.7,0.79,395
517,1,3,16,0,6,0,1,0.36,0.23,390
518,4,11,15,0,1,1,3,0.44,0.94,108
519,3,8,21,0,2,1,1,0.64,0.73,280
520,3,8,15,0,5,1,1,0.8,0.52,324
521,1,1,1,0,2,1,1,0.18,0.55,6
522,1,1,2,0,0,0,1,0.16,0.8,11
523,3,6,17,0,2,1,1,0.72,0.28,900
524,1,3,12,0,3,1,2,0.32,0.76,98
525,1,1,23,0,5,1,3,0.16,0.64,38
526,1,2,13,0,3,1,1,0.3,0.28,87
527,3,7,1,0,5,1,1,0.72,0.7,54
528,2,4,14,0,4,1,1,0.5,0.34,228
529,1,1,5,0,2,1,1,0.4,0.47,23
530,3,9,0,0,6,0,1,0.46,0.72,108
531,3,8,21,0,5,1,1,0.72,0.79,190
532,4,11,8,0,6,0,1,0.26,0.65,168
533,1,3,8,0,0,0,2,0.4,1,9
534,1,2,17,0,2,1,1,0.22,0.51,196
535,1,2,10,0,3,1,3,0.3,0.81,10
536,2,6,12,0,5,1,1,0.66,0.27,259
