Index,C1,C2,C3,C4,C5,C6,C7,C8,Target
45,3,0.63,0.475,0.145,1.0605,0.5165,0.2195,0.28,10
46,1,0.515,0.385,0.13,0.623,0.2855,0.1285,0.175,10
47,3,0.345,0.255,0.085,0.2005,0.105,0.037,0.05,5
48,2,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,17
49,2,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,20
50,3,0.525,0.395,0.12,0.608,0.297,0.1395,0.1405,8
51,3,0.5,0.375,0.14,0.5495,0.248,0.112,0.1585,7
52,3,0.38,0.3,0.09,0.277,0.1655,0.0625,0.082,6
53,2,0.515,0.4,0.115,0.578,0.191,0.1445,0.17,9
54,1,0.59,0.45,0.185,1.283,0.473,0.276,0.425,16
55,1,0.6,0.495,0.195,1.0575,0.384,0.19,0.375,26
56,1,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,10
57,2,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15
58,2,0.625,0.475,0.175,1.1435,0.4755,0.2475,0.349,10
59,3,0.44,0.32,0.105,0.3875,0.1755,0.074,0.12,9
60,1,0.475,0.37,0.11,0.4895,0.2185,0.107,0.146,8
61,2,0.62,0.485,0.22,1.511,0.5095,0.284,0.51,17
62,3,0.39,0.28,0.09,0.215,0.0845,0.034,0.079,8
63,3,0.52,0.39,0.13,0.5545,0.2355,0.1095,0.1895,7
64,2,0.6,0.47,0.19,1.1345,0.492,0.2595,0.3375,10
65,1,0.61,0.47,0.17,1.1185,0.5225,0.2405,0.31,9
66,2,0.49,0.38,0.125,0.549,0.245,0.1075,0.174,10
67,1,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,6
68,1,0.53,0.415,0.175,0.7395,0.261,0.1395,0.2645,17
69,1,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,19
70,1,0.645,0.51,0.19,1.4865,0.6445,0.296,0.425,12
71,1,0.425,0.325,0.12,0.3755,0.142,0.1065,0.105,9
72,3,0.375,0.285,0.09,0.237,0.106,0.0395,0.08,8
73,1,0.525,0.38,0.125,0.65,0.303,0.155,0.159,7
74,1,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9
75,1,0.575,0.47,0.15,1.1415,0.4515,0.204,0.4,13
76,3,0.53,0.42,0.14,0.6765,0.256,0.1855,0.208,9
77,3,0.435,0.345,0.12,0.4475,0.221,0.112,0.125,7
78,2,0.65,0.475,0.165,1.3875,0.58,0.3485,0.3095,9
79,2,0.705,0.54,0.205,1.757,0.8265,0.417,0.461,9
80,1,0.655,0.525,0.185,1.259,0.487,0.2215,0.445,20
81,3,0.56,0.445,0.165,0.832,0.3455,0.179,0.279,9
82,3,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,6
83,1,0.465,0.36,0.125,0.4365,0.169,0.1075,0.145,11
84,3,0.365,0.28,0.09,0.196,0.0865,0.036,0.0605,7
85,3,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038,6
86,2,0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515,17
87,3,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,13
88,1,0.265,0.2,0.065,0.084,0.034,0.0105,0.03,7
89,3,0.37,0.28,0.09,0.2565,0.1255,0.0645,0.0645,6
90,3,0.425,0.31,0.095,0.3505,0.1645,0.071,0.1,8
91,3,0.365,0.26,0.115,0.218,0.0935,0.0445,0.07,9
92,1,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8
93,1,0.575,0.44,0.185,1.025,0.5075,0.2245,0.2485,10
94,2,0.565,0.48,0.175,0.957,0.3885,0.215,0.275,18
95,1,0.435,0.335,0.11,0.4385,0.2075,0.0715,0.1315,7
96,1,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17
97,1,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7
98,3,0.275,0.2,0.055,0.0925,0.038,0.021,0.026,4
99,1,0.6,0.465,0.165,1.0475,0.465,0.2345,0.315,11
100,3,0.53,0.38,0.125,0.616,0.292,0.113,0.185,8
101,1,0.67,0.52,0.19,1.6385,0.8115,0.369,0.391,9
102,2,0.675,0.525,0.17,1.8095,0.784,0.391,0.455,12
103,1,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,14
104,3,0.43,0.325,0.09,0.425,0.217,0.087,0.095,7
105,1,0.4,0.305,0.085,0.297,0.108,0.0705,0.1,10
106,1,0.385,0.3,0.095,0.24,0.0885,0.059,0.085,9
107,2,0.545,0.385,0.15,1.1185,0.5425,0.2445,0.2845,9
108,2,0.47,0.355,0.14,0.433,0.1525,0.095,0.152,12
109,2,0.625,0.49,0.165,1.127,0.477,0.2365,0.3185,9
110,1,0.575,0.45,0.13,0.785,0.318,0.193,0.2265,9
111,2,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,12
112,3,0.335,0.26,0.09,0.1965,0.0875,0.041,0.056,7
113,1,0.645,0.5,0.18,1.461,0.5985,0.2425,0.439,11
114,3,0.44,0.335,0.115,0.4215,0.173,0.0765,0.113,7
115,2,0.375,0.27,0.135,0.597,0.272,0.131,0.1675,7
116,2,0.68,0.56,0.195,1.7775,0.861,0.322,0.415,11
117,1,0.565,0.44,0.155,0.868,0.348,0.217,0.26,11
118,1,0.59,0.46,0.14,1.004,0.496,0.2165,0.26,9
119,3,0.47,0.35,0.135,0.567,0.2315,0.1465,0.1525,11
120,1,0.655,0.52,0.17,1.1445,0.53,0.223,0.348,9
121,3,0.435,0.335,0.1,0.3295,0.129,0.07,0.11,7
122,3,0.195,0.15,0.045,0.0375,0.018,0.006,0.011,3
123,2,0.375,0.29,0.115,0.2705,0.093,0.066,0.0885,10
124,2,0.475,0.35,0.115,0.452,0.1715,0.092,0.155,11
125,3,0.425,0.31,0.105,0.365,0.159,0.0825,0.105,6
126,3,0.24,0.175,0.055,0.0705,0.025,0.014,0.021,5
127,3,0.4,0.3,0.11,0.315,0.109,0.067,0.12,9
128,1,0.415,0.325,0.14,0.417,0.1535,0.1015,0.144,10
129,3,0.35,0.26,0.09,0.1765,0.072,0.0355,0.0575,7
130,3,0.25,0.175,0.06,0.0635,0.0275,0.008,0.02,4
131,1,0.425,0.33,0.13,0.4405,0.152,0.0935,0.155,9
132,2,0.435,0.35,0.105,0.4195,0.194,0.1005,0.13,7
133,1,0.6,0.475,0.205,1.176,0.5255,0.2875,0.308,9
134,1,0.635,0.51,0.155,0.986,0.405,0.2255,0.31,10
135,2,0.66,0.5,0.155,1.3765,0.6485,0.288,0.335,12
136,1,0.285,0.215,0.075,0.106,0.0415,0.023,0.035,5
137,3,0.39,0.295,0.1,0.279,0.1155,0.059,0.08,7
138,3,0.34,0.26,0.085,0.1885,0.0815,0.0335,0.06,6
139,2,0.515,0.395,0.135,0.516,0.2015,0.132,0.162,9
140,3,0.55,0.425,0.145,0.89,0.4325,0.171,0.236,10
141,2,0.675,0.57,0.225,1.587,0.739,0.2995,0.435,10
142,3,0.47,0.385,0.13,0.587,0.264,0.117,0.174,8
143,1,0.53,0.41,0.125,0.769,0.346,0.173,0.215,9
144,1,0.63,0.465,0.15,1.027,0.537,0.188,0.176,8
145,3,0.525,0.385,0.13,0.607,0.2355,0.125,0.195,8
146,3,0.32,0.215,0.095,0.305,0.14,0.067,0.0885,6
147,3,0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615,7
148,3,0.395,0.305,0.105,0.284,0.1135,0.0595,0.0945,8
149,3,0.28,0.215,0.07,0.124,0.063,0.0215,0.03,6
150,2,0.58,0.45,0.235,1.071,0.3,0.206,0.395,14
151,1,0.335,0.265,0.095,0.1975,0.0795,0.0375,0.07,9
152,1,0.37,0.29,0.09,0.241,0.11,0.045,0.069,10
153,2,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,21
154,1,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,9
155,1,0.555,0.44,0.145,0.85,0.4165,0.1685,0.23,8
156,2,0.575,0.47,0.155,1.116,0.509,0.238,0.34,10
157,3,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,7
158,2,0.62,0.51,0.18,1.3315,0.594,0.276,0.388,11
159,3,0.55,0.425,0.15,0.639,0.269,0.1345,0.217,9
160,1,0.61,0.48,0.14,1.0625,0.516,0.225,0.2915,11
161,3,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065,7
162,1,0.45,0.36,0.16,0.567,0.174,0.1245,0.225,12
163,2,0.555,0.42,0.14,0.868,0.33,0.243,0.21,13
164,1,0.61,0.48,0.14,1.031,0.4375,0.2615,0.27,8
165,3,0.45,0.36,0.13,0.478,0.191,0.127,0.137,7
166,3,0.575,0.45,0.135,0.8715,0.45,0.162,0.225,10
167,2,0.49,0.36,0.11,0.5005,0.161,0.107,0.195,17
168,1,0.595,0.47,0.155,1.2015,0.492,0.3865,0.265,10
169,3,0.235,0.17,0.065,0.0625,0.023,0.014,0.022,6
170,3,0.495,0.38,0.135,0.5095,0.2065,0.1165,0.165,8
171,3,0.33,0.25,0.075,0.1405,0.056,0.035,0.05,5
172,1,0.585,0.46,0.165,1.1135,0.5825,0.2345,0.274,10
173,2,0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765,10
174,2,0.72,0.55,0.18,1.52,0.637,0.325,0.435,10
175,3,0.325,0.24,0.075,0.187,0.0825,0.0445,0.05,6
176,1,0.54,0.415,0.145,0.74,0.2635,0.168,0.245,12
177,3,0.68,0.53,0.185,1.1095,0.439,0.245,0.34,10
178,2,0.645,0.535,0.19,1.2395,0.468,0.2385,0.424,10
179,1,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,9
180,2,0.695,0.56,0.185,1.7715,0.8195,0.331,0.437,10
181,2,0.52,0.375,0.135,0.5375,0.221,0.117,0.17,8
182,2,0.595,0.495,0.185,1.285,0.416,0.224,0.485,13
183,2,0.52,0.41,0.125,0.6985,0.2945,0.1625,0.215,10
184,1,0.42,0.325,0.115,0.2885,0.1,0.057,0.1135,15
185,3,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5
186,1,0.4,0.3,0.125,0.417,0.191,0.09,0.1175,9
187,1,0.465,0.405,0.135,0.7775,0.436,0.1715,0.1455,10
188,3,0.485,0.385,0.13,0.568,0.2505,0.178,0.154,7
189,2,0.505,0.405,0.18,0.606,0.239,0.1235,0.18,11
190,1,0.565,0.425,0.1,0.7145,0.3055,0.166,0.18,12
191,1,0.49,0.38,0.14,0.6385,0.2305,0.142,0.195,13
192,3,0.465,0.36,0.105,0.498,0.214,0.116,0.14,15
193,3,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,18
194,3,0.41,0.3,0.09,0.304,0.129,0.071,0.0955,8
195,3,0.395,0.3,0.09,0.253,0.1155,0.05,0.075,6
196,3,0.415,0.31,0.105,0.3595,0.167,0.083,0.0915,6
197,1,0.725,0.505,0.185,1.978,1.026,0.4255,0.4505,12
198,3,0.175,0.125,0.04,0.028,0.0095,0.008,0.009,4
199,3,0.45,0.355,0.105,0.4445,0.197,0.093,0.1335,8
200,2,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11
201,3,0.45,0.34,0.125,0.4045,0.171,0.07,0.1345,8
202,3,0.385,0.285,0.09,0.248,0.0935,0.066,0.07,6
203,1,0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,12
204,3,0.535,0.42,0.145,0.6885,0.273,0.1515,0.237,9
205,2,0.57,0.45,0.16,0.9715,0.3965,0.255,0.26,12
206,2,0.435,0.35,0.11,0.384,0.143,0.1005,0.125,13
207,1,0.6,0.46,0.15,1.247,0.5335,0.2735,0.29,9
208,1,0.6,0.465,0.2,1.259,0.6405,0.1985,0.357,9
209,3,0.475,0.365,0.115,0.49,0.223,0.1235,0.1335,9
210,3,0.235,0.175,0.08,0.0645,0.0215,0.0175,0.0215,5
211,2,0.675,0.51,0.195,1.382,0.6045,0.3175,0.3965,10
212,1,0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295,8
213,2,0.55,0.465,0.15,1.082,0.3575,0.194,0.19,14
214,3,0.435,0.33,0.11,0.413,0.2055,0.096,0.096,6
215,3,0.535,0.41,0.13,0.6075,0.268,0.1225,0.1975,9
216,2,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,9
217,2,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195,15
218,1,0.535,0.44,0.165,0.875,0.279,0.18,0.3,10
219,1,0.4,0.31,0.11,0.314,0.138,0.057,0.1,11
220,1,0.65,0.525,0.19,1.3685,0.5975,0.296,0.4,11
221,1,0.615,0.475,0.175,1.224,0.6035,0.261,0.311,9
222,3,0.4,0.32,0.095,0.348,0.194,0.053,0.087,6
223,3,0.425,0.31,0.09,0.301,0.1385,0.065,0.08,7
224,3,0.505,0.355,0.125,0.601,0.25,0.1205,0.185,8
225,2,0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,9
226,2,0.505,0.4,0.165,0.729,0.2675,0.155,0.25,9
227,3,0.275,0.2,0.07,0.096,0.037,0.0225,0.03,6
228,2,0.655,0.525,0.175,1.348,0.5855,0.2605,0.394,10
229,2,0.66,0.495,0.21,1.548,0.724,0.3525,0.3925,10
230,3,0.52,0.395,0.135,0.633,0.2985,0.1295,0.175,9
231,1,0.66,0.525,0.18,1.478,0.5815,0.381,0.372,10
232,2,0.615,0.475,0.175,1.194,0.559,0.259,0.3165,11
233,1,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8
234,3,0.52,0.41,0.14,0.699,0.3395,0.129,0.1945,10
235,2,0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,9
236,3,0.655,0.515,0.145,1.25,0.5265,0.283,0.315,15
237,1,0.655,0.51,0.215,1.7835,0.8885,0.4095,0.4195,11
238,3,0.43,0.335,0.105,0.378,0.188,0.0785,0.09,6
239,2,0.5,0.4,0.15,0.8085,0.273,0.112,0.295,13
240,1,0.615,0.48,0.19,1.36,0.5305,0.2375,0.47,18
241,1,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245,10
242,1,0.625,0.485,0.17,1.437,0.5855,0.293,0.475,11
243,2,0.655,0.515,0.2,1.494,0.7255,0.309,0.405,12
244,2,0.66,0.53,0.17,1.326,0.519,0.2625,0.44,13
245,3,0.365,0.27,0.085,0.1875,0.081,0.042,0.058,6
246,3,0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115,9
247,1,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,7
248,3,0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035,5
249,2,0.645,0.5,0.18,1.2785,0.5345,0.2995,0.345,13
250,3,0.52,0.4,0.14,0.622,0.278,0.1455,0.169,8
251,2,0.61,0.495,0.16,1.089,0.469,0.198,0.384,11
252,2,0.44,0.345,0.105,0.4285,0.165,0.083,0.132,11
253,2,0.625,0.42,0.165,1.0595,0.358,0.165,0.445,21
254,2,0.58,0.45,0.155,0.93,0.385,0.246,0.265,9
255,3,0.385,0.305,0.095,0.252,0.0915,0.055,0.09,14
256,1,0.66,0.51,0.165,1.6375,0.7685,0.3545,0.3925,14
257,1,0.545,0.41,0.14,0.737,0.349,0.15,0.212,9
258,1,0.63,0.525,0.195,1.3135,0.4935,0.2565,0.465,10
259,3,0.41,0.3,0.115,0.2595,0.097,0.0515,0.08,10
260,3,0.5,0.4,0.12,0.616,0.261,0.143,0.1935,8
261,3,0.36,0.28,0.105,0.199,0.0695,0.045,0.08,9
262,1,0.52,0.415,0.175,0.753,0.258,0.171,0.255,8
263,2,0.455,0.36,0.11,0.4385,0.206,0.098,0.125,10
264,1,0.675,0.51,0.17,1.527,0.809,0.318,0.341,11
265,2,0.51,0.4,0.125,0.545,0.261,0.115,0.1385,6
266,2,0.66,0.515,0.17,1.337,0.615,0.3125,0.3575,10
267,2,0.675,0.555,0.205,1.925,0.713,0.358,0.4535,13
268,2,0.61,0.5,0.18,1.438,0.5185,0.3735,0.3345,9
269,2,0.565,0.445,0.125,0.8305,0.3135,0.1785,0.23,11
270,3,0.445,0.35,0.13,0.4195,0.1695,0.0945,0.1195,7
271,2,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,13
272,2,0.59,0.485,0.205,1.2315,0.4525,0.238,0.42,13
273,3,0.165,0.12,0.05,0.021,0.0075,0.0045,0.014,3
274,3,0.395,0.31,0.085,0.317,0.153,0.0505,0.0935,7
275,1,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,6
276,1,0.51,0.4,0.14,0.6905,0.259,0.151,0.23,10
277,3,0.505,0.4,0.125,0.5605,0.2255,0.1435,0.17,8
278,2,0.62,0.48,0.165,1.0125,0.5325,0.4365,0.324,10
279,1,0.575,0.45,0.165,0.9655,0.498,0.19,0.23,8
280,3,0.455,0.355,0.125,0.5325,0.225,0.126,0.1465,7
281,1,0.65,0.525,0.19,1.4995,0.6265,0.4005,0.395,14
282,3,0.285,0.225,0.07,0.1005,0.0425,0.0185,0.035,7
283,2,0.59,0.455,0.155,1.066,0.382,0.2275,0.415,20
284,2,0.73,0.55,0.205,1.908,0.5415,0.3565,0.5965,14
285,2,0.67,0.54,0.195,1.619,0.74,0.3305,0.465,11
286,1,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9
287,3,0.225,0.17,0.05,0.0515,0.019,0.012,0.017,4
288,2,0.505,0.39,0.12,0.5725,0.2555,0.1325,0.146,8
289,1,0.72,0.55,0.205,2.165,1.1055,0.525,0.404,10
290,1,0.34,0.275,0.09,0.2065,0.0725,0.043,0.07,10
291,1,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8
292,2,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,8
293,1,0.59,0.44,0.15,0.8725,0.387,0.215,0.245,8
294,2,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13
295,2,0.66,0.475,0.18,1.3695,0.641,0.294,0.335,6
296,3,0.38,0.28,0.085,0.2735,0.115,0.061,0.085,6
297,1,0.55,0.41,0.15,0.785,0.282,0.186,0.275,12
298,2,0.61,0.495,0.185,1.153,0.536,0.2905,0.245,8
299,3,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725,12
300,1,0.375,0.29,0.1,0.276,0.1175,0.0565,0.085,9
301,1,0.65,0.525,0.175,1.4715,0.675,0.315,0.399,11
302,2,0.62,0.47,0.225,1.115,0.378,0.2145,0.36,15
303,2,0.575,0.485,0.165,1.0405,0.419,0.264,0.3,14
304,3,0.45,0.34,0.095,0.3245,0.1385,0.064,0.105,8
305,1,0.685,0.52,0.15,1.3735,0.7185,0.293,0.32,11
306,3,0.415,0.315,0.09,0.3625,0.175,0.0835,0.093,6
307,1,0.41,0.325,0.1,0.3555,0.146,0.072,0.105,9
308,1,0.58,0.43,0.13,0.798,0.365,0.173,0.2285,10
309,1,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,10
310,1,0.645,0.495,0.185,1.4935,0.5265,0.2785,0.455,15
311,3,0.575,0.45,0.135,0.807,0.3615,0.176,0.254,10
312,2,0.56,0.455,0.125,0.943,0.344,0.129,0.375,21
313,2,0.6,0.475,0.135,1.4405,0.5885,0.191,0.3175,9
314,1,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,10
315,1,0.545,0.43,0.155,0.8035,0.409,0.144,0.228,7
316,3,0.39,0.31,0.085,0.344,0.181,0.0695,0.079,7
317,2,0.58,0.45,0.145,1.137,0.5585,0.22,0.29,8
318,3,0.42,0.315,0.11,0.4025,0.1855,0.083,0.1015,8
319,3,0.48,0.35,0.1,0.519,0.2365,0.1275,0.126,7
320,1,0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,8
321,2,0.69,0.535,0.185,1.826,0.797,0.409,0.499,11
322,3,0.51,0.4,0.125,0.5575,0.2615,0.1195,0.1525,9
323,3,0.415,0.31,0.11,0.2965,0.123,0.057,0.0995,10
324,1,0.55,0.45,0.155,0.7895,0.343,0.159,0.25,12
325,3,0.45,0.33,0.115,0.365,0.14,0.0825,0.1245,8
326,1,0.485,0.39,0.135,0.617,0.25,0.1345,0.1635,8
327,2,0.465,0.39,0.14,0.5555,0.213,0.1075,0.215,15
328,2,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20
329,3,0.38,0.275,0.095,0.2425,0.106,0.0485,0.21,6
330,2,0.43,0.335,0.12,0.444,0.155,0.1145,0.14,13
331,3,0.63,0.465,0.15,1.0315,0.4265,0.24,0.325,11
332,2,0.695,0.55,0.155,1.8495,0.767,0.442,0.4175,10
333,3,0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385,5
334,2,0.525,0.415,0.15,0.7155,0.2355,0.171,0.27,13
335,1,0.405,0.305,0.12,0.3185,0.1235,0.0905,0.095,7
336,1,0.57,0.435,0.13,0.7535,0.349,0.1755,0.194,10
337,3,0.575,0.45,0.145,0.795,0.364,0.1505,0.26,10
338,3,0.505,0.38,0.12,0.594,0.2595,0.1435,0.18,7
339,1,0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35,6
340,2,0.515,0.4,0.17,0.796,0.258,0.1755,0.28,16
341,1,0.68,0.52,0.165,1.4775,0.724,0.279,0.406,11
342,2,0.41,0.305,0.1,0.363,0.1735,0.065,0.11,11
343,2,0.56,0.455,0.19,0.714,0.283,0.129,0.275,9
344,2,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52,19
345,2,0.51,0.34,0.18,0.7005,0.312,0.165,0.2,11
346,1,0.59,0.455,0.145,1.073,0.475,0.19,0.285,14
347,1,0.59,0.47,0.145,0.9235,0.4545,0.173,0.254,9
348,1,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255,22
349,3,0.49,0.385,0.14,0.5425,0.198,0.127,0.175,11
350,2,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,5
351,3,0.54,0.42,0.14,0.6665,0.3125,0.138,0.1895,10
352,2,0.535,0.445,0.125,0.8725,0.417,0.199,0.24,8
353,1,0.495,0.375,0.155,0.976,0.45,0.2285,0.2475,9
354,2,0.605,0.465,0.155,1.1,0.547,0.2665,0.2585,10
355,2,0.655,0.5,0.18,1.4155,0.508,0.314,0.445,18
356,1,0.665,0.535,0.155,1.383,0.596,0.2565,0.485,14
357,3,0.47,0.375,0.125,0.5225,0.2265,0.104,0.162,8
358,2,0.67,0.54,0.2,1.46,0.6435,0.328,0.4165,9
359,2,0.575,0.48,0.15,0.8745,0.375,0.193,0.29,12
360,2,0.67,0.55,0.155,1.566,0.858,0.339,0.354,10
361,3,0.575,0.45,0.15,0.858,0.449,0.166,0.215,10
362,1,0.68,0.535,0.185,1.607,0.7245,0.3215,0.498,12
363,2,0.56,0.445,0.18,0.903,0.3575,0.2045,0.295,9
364,1,0.645,0.51,0.195,1.226,0.5885,0.2215,0.3745,10
365,2,0.72,0.565,0.17,1.613,0.723,0.3255,0.4945,12
366,1,0.38,0.3,0.1,0.2505,0.106,0.0535,0.0775,8
367,3,0.36,0.3,0.085,0.27,0.1185,0.064,0.0745,7
368,2,0.485,0.375,0.135,0.556,0.1925,0.1315,0.1685,10
369,1,0.585,0.48,0.185,1.04,0.434,0.265,0.285,10
370,1,0.595,0.47,0.165,1.108,0.4915,0.2325,0.3345,9
371,1,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13
372,3,0.585,0.45,0.135,0.855,0.3795,0.187,0.26,9
373,2,0.595,0.48,0.15,1.11,0.498,0.228,0.33,10
374,1,0.6,0.465,0.18,1.193,0.5145,0.315,0.3055,8
375,3,0.245,0.18,0.065,0.071,0.03,0.013,0.0215,4
376,2,0.615,0.475,0.155,1.115,0.484,0.2115,0.355,10
377,3,0.54,0.415,0.11,0.619,0.2755,0.15,0.1765,10
378,3,0.48,0.355,0.115,0.5785,0.25,0.106,0.184,8
379,3,0.41,0.31,0.09,0.339,0.155,0.0695,0.09,7
380,1,0.63,0.515,0.155,1.259,0.4105,0.197,0.41,13
381,2,0.45,0.36,0.11,0.447,0.203,0.082,0.13,12
382,1,0.48,0.37,0.135,0.6315,0.3445,0.1015,0.161,7
383,2,0.67,0.525,0.19,1.527,0.5755,0.353,0.44,12
384,1,0.445,0.35,0.14,0.5905,0.2025,0.158,0.19,14
385,1,0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,11
386,2,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14
387,2,0.585,0.45,0.16,0.9045,0.405,0.2215,0.2335,8
388,1,0.665,0.515,0.165,1.3855,0.621,0.302,0.3445,8
389,3,0.53,0.405,0.12,0.632,0.2715,0.148,0.1875,9
390,1,0.565,0.465,0.15,1.1285,0.377,0.3525,0.33,16
